Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,,
Switzerland,2021,84.0,16.5,13.9,"66,933",5,,
Norway,0.962,83.2,18.2,13.0,"64,660",6,,
Iceland,0.961,82.7,19.2,13.8,"55,782",11,,
"Hong Kong, China (SAR)",0.959,85.5,17.3,12.2,"62,607",6,,
Australia,0.952,84.5,21.1,12.7,"49,238",18,,
Denmark,0.951,81.4,18.7,13.0,"60,365",6,,
Sweden,0.948,83.0,19.4,12.6,"54,489",9,,
Ireland,0.947,82.0,18.9,11.6,"76,169",-3,,
Germany,0.945,80.6,17.0,14.1,"54,534",6,,
Netherlands,0.942,81.7,18.7,12.6,"55,979",3,,
Finland,0.941,82.0,19.1,12.9,"49,452",11,,
Singapore,0.940,82.8,16.5,11.9,"90,919",-10,,
Belgium,0.939,81.9,19.6,12.4,"52,293",7,,
New Zealand,0.937,82.5,20.3,12.9,"44,057",16,,
Canada,0.937,82.7,16.4,13.8,"46,808",9,,
Liechtenstein,0.936,83.3,15.2,12.5,"146,830",-15,,
Luxembourg,0.935,82.6,14.4,13.0,"84,649",-13,,
United Kingdom,0.930,80.7,17.3,13.4,"45,225",9,,
Japan,0.929,84.8,15.2,13.4,"42,274",12,,
Korea (Republic of),0.925,83.7,16.5,12.5,"44,501",9,,
United States,0.925,77.2,16.3,13.7,"64,765",-14,,
Israel,0.921,82.3,16.1,13.3,"41,524",10,,
Malta,0.919,83.8,16.8,12.2,"38,884",12,,
Slovenia,0.918,80.7,17.7,12.8,"39,746",10,,
Austria,0.918,81.6,16.0,12.3,"53,619",-8,,
United Arab Emirates,0.916,78.7,15.7,12.7,"62,574",-15,,
Spain,0.911,83.0,17.9,10.6,"38,354",10,,
France,0.905,82.5,15.8,11.6,"45,937",-2,,
Cyprus,0.903,81.2,15.6,12.4,"38,188",9,,
Italy,0.896,82.9,16.2,10.7,"42,840",0,,
Estonia,0.895,77.1,15.9,13.5,"38,048",8,,
Czechia,0.890,77.7,16.2,12.9,"38,745",4,,
Greece,0.889,80.1,20.0,11.4,"29,002",17,,
Poland,0.887,76.5,16.0,13.2,"33,034",8,,
Bahrain,0.876,78.8,16.3,11.0,"39,497",-1,,
Lithuania,0.875,73.7,16.3,13.5,"37,931",5,,
Saudi Arabia,0.875,76.9,16.1,11.3,"46,112",-10,,
Portugal,0.875,81.0,16.9,9.6,"33,155",3,,
Latvia,0.866,73.6,16.2,13.3,"32,803",4,,
Andorra,0.863,80.4,13.3,10.6,"51,167",-19,,
Croatia,0.858,77.6,15.1,12.2,"30,132",8,,
Chile,0.858,78.9,16.7,10.9,"24,563",14,,
